[WARNING] [2025-03-17  15:31:28.157] : warning log.py -> <module> line:57 
[ERROR] [2025-03-17  15:31:28.157] : error log.py -> <module> line:58 
[CRITICAL] [2025-03-17  15:31:28.158] : critical log.py -> <module> line:59 
[INFO] [2025-03-17  15:35:50.214] : 连接数据库：localhost/shop sql.py -> __init__ line:10 
[INFO] [2025-03-17  15:35:50.215] : sql：select * from shop_user sql.py -> execute line:21 
[INFO] [2025-03-17  15:35:50.216] : 关闭数据库 sql.py -> __del__ line:16 
[INFO] [2025-03-17  15:48:17.354] : 连接数据库：localhost/shop sql.py -> __init__ line:10 
[INFO] [2025-03-17  15:48:17.356] : sql：select * from shop_user sql.py -> execute line:21 
[INFO] [2025-03-17  15:48:17.358] : 关闭数据库 sql.py -> __del__ line:16 
[INFO] [2025-03-17  15:49:06.551] : 连接数据库：localhost/shop sql.py -> __init__ line:10 
[INFO] [2025-03-17  15:49:06.551] : sql：SELECT USERID FROM shop_user WHERE USER_NAME = test_name sql.py -> execute line:21 
[ERROR] [2025-03-17  15:49:06.552] : 执行sql出现错误，异常为(1054, "Unknown column 'USERID' in 'field list'") sql.py -> execute line:28 
[INFO] [2025-03-17  15:49:06.556] : 关闭数据库 sql.py -> __del__ line:16 
[INFO] [2025-03-17  15:49:27.579] : 连接数据库：localhost/shop sql.py -> __init__ line:10 
[INFO] [2025-03-17  15:49:27.579] : sql：SELECT USER_ID FROM shop_user WHERE USER_NAME = test_name sql.py -> execute line:21 
[ERROR] [2025-03-17  15:49:27.580] : 执行sql出现错误，异常为(1054, "Unknown column 'test_name' in 'where clause'") sql.py -> execute line:28 
[INFO] [2025-03-17  15:49:27.585] : 关闭数据库 sql.py -> __del__ line:16 
[INFO] [2025-03-17  15:53:18.953] : 连接数据库：localhost/shop sql.py -> __init__ line:10 
[INFO] [2025-03-17  15:53:18.954] : sql：SELECT user_id FROM shop_user WHERE user_name = test_name sql.py -> execute line:21 
[ERROR] [2025-03-17  15:53:18.954] : 执行sql出现错误，异常为(1054, "Unknown column 'test_name' in 'where clause'") sql.py -> execute line:28 
[INFO] [2025-03-17  15:53:18.958] : 关闭数据库 sql.py -> __del__ line:16 
[INFO] [2025-03-17  15:58:52.418] : 连接数据库：localhost/shop sql.py -> __init__ line:10 
[INFO] [2025-03-17  15:58:52.419] : sql：SELECT user_id FROM shop_user WHERE user_name = 'test' sql.py -> execute line:21 
[INFO] [2025-03-17  15:58:52.421] : 关闭数据库 sql.py -> __del__ line:16 
[INFO] [2025-03-17  16:13:49.485] : 连接数据库：localhost/shop sql.py -> __init__ line:10 
[INFO] [2025-03-17  16:13:49.485] : sql：SELECT user_id FROM shop_user WHERE user_name = (test_name) sql.py -> execute line:21 
[ERROR] [2025-03-17  16:13:49.486] : 执行sql出现错误，异常为(1054, "Unknown column 'test_name' in 'where clause'") sql.py -> execute line:28 
[INFO] [2025-03-17  16:13:49.490] : 关闭数据库 sql.py -> __del__ line:16 
[INFO] [2025-03-17  16:14:24.260] : 连接数据库：localhost/shop sql.py -> __init__ line:10 
[INFO] [2025-03-17  16:14:24.262] : sql：SELECT user_id FROM shop_user WHERE user_name = $test_name sql.py -> execute line:21 
[ERROR] [2025-03-17  16:14:24.262] : 执行sql出现错误，异常为(1054, "Unknown column '$test_name' in 'where clause'") sql.py -> execute line:28 
[INFO] [2025-03-17  16:14:24.266] : 关闭数据库 sql.py -> __del__ line:16 
[INFO] [2025-03-17  16:29:04.407] : 连接数据库：localhost/shop sql.py -> __init__ line:10 
[INFO] [2025-03-17  16:29:04.407] : sql：SELECT user_id FROM shop_user WHERE user_name = 'test' sql.py -> execute line:21 
